2026-05-15 11:02:46 | INFO     | coin_radar.fetcher.exchange_adapter | Initialized exchange adapter: binance
2026-05-15 11:02:46 | INFO     | coin_radar.fetcher.exchange_adapter | Initialized exchange adapter: okx
2026-05-15 11:02:46 | INFO     | coin_radar.fetcher.exchange_adapter | Initialized exchange adapter: bybit
2026-05-15 11:02:48 | ERROR    | coin_radar.fetcher.exchange_adapter | Network error for binance: binance GET https://api.binance.com/api/v3/exchangeInfo
2026-05-15 11:02:51 | ERROR    | coin_radar.fetcher.exchange_adapter | Network error for binance: binance GET https://api.binance.com/api/v3/exchangeInfo
2026-05-15 11:02:54 | ERROR    | coin_radar.fetcher.exchange_adapter | Network error for binance: binance GET https://api.binance.com/api/v3/exchangeInfo
2026-05-15 11:02:59 | ERROR    | coin_radar.fetcher.exchange_adapter | Network error for binance: binance GET https://api.binance.com/api/v3/exchangeInfo
2026-05-15 11:03:08 | ERROR    | coin_radar.fetcher.exchange_adapter | Network error for binance: binance GET https://api.binance.com/api/v3/exchangeInfo
2026-05-15 11:03:08 | ERROR    | coin_radar.fetcher.exchange_adapter | fetch_markets failed: binance
2026-05-15 11:03:09 | ERROR    | coin_radar.fetcher.exchange_adapter | Network error for okx: okx GET https://www.okx.com/api/v5/public/instruments?instType=SPOT
2026-05-15 11:03:11 | ERROR    | coin_radar.fetcher.exchange_adapter | Network error for okx: okx GET https://www.okx.com/api/v5/public/instruments?instType=SPOT
2026-05-15 11:03:13 | ERROR    | coin_radar.fetcher.exchange_adapter | Network error for okx: okx GET https://www.okx.com/api/v5/public/instruments?instType=SPOT
2026-05-15 11:03:17 | ERROR    | coin_radar.fetcher.exchange_adapter | Network error for okx: okx GET https://www.okx.com/api/v5/public/instruments?instType=SPOT
2026-05-15 11:03:25 | ERROR    | coin_radar.fetcher.exchange_adapter | Network error for okx: okx GET https://www.okx.com/api/v5/public/instruments?instType=SPOT
2026-05-15 11:03:25 | ERROR    | coin_radar.fetcher.exchange_adapter | fetch_markets failed: okx
2026-05-15 11:03:26 | ERROR    | coin_radar.fetcher.exchange_adapter | Network error for bybit: bybit GET https://api.bybit.com/v5/market/instruments-info?category=option&baseCoin=BTC
2026-05-15 11:03:28 | ERROR    | coin_radar.fetcher.exchange_adapter | Network error for bybit: bybit GET https://api.bybit.com/v5/market/instruments-info?category=spot
2026-05-15 11:03:30 | ERROR    | coin_radar.fetcher.exchange_adapter | Network error for bybit: bybit GET https://api.bybit.com/v5/market/instruments-info?category=spot
2026-05-15 11:03:34 | ERROR    | coin_radar.fetcher.exchange_adapter | Network error for bybit: bybit GET https://api.bybit.com/v5/market/instruments-info?category=spot
2026-05-15 11:03:42 | ERROR    | coin_radar.fetcher.exchange_adapter | Network error for bybit: bybit GET https://api.bybit.com/v5/market/instruments-info?category=spot
2026-05-15 11:03:42 | ERROR    | coin_radar.fetcher.exchange_adapter | fetch_markets failed: bybit
